date,plantID,SR1_mean,SR1_sd,DoubleDifference_mean,DoubleDifference_sd,Vogelmann1_mean,Vogelmann1_sd,mSR705_mean,mSR705_sd,SRCarter_mean,SRCarter_sd,Maccioni_mean,Maccioni_sd,SR3_mean,SR3_sd,Gitelson_mean,Gitelson_sd,NDVI_MODIS_mean,NDVI_MODIS_sd,Datt4_mean,Datt4_sd,SR4_mean,SR4_sd,SR2_mean,SR2_sd,NDVI_hyper_mean,NDVI_hyper_sd,Vogelmann2_mean,Vogelmann2_sd,mNDVI_mean,mNDVI_sd,NDWI_mean,NDWI_sd,SIPI_mean,SIPI_sd,PRI_mean,PRI_sd,mSRCHL_mean,mSRCHL_sd
2026-07-09,1,Tagged,2.772596937389673,0.24769452532717684,0.04114429878576218,0.020027881120989847,1.3347932664943327,0.04355164637559393,2.9930224594910833,0.19900963394914653,3.5771956470203334,0.373270725627145,0.5769188962451689,0.031160542022271143,2.6934786219163653,0.2783686861689895,5.982454244474457,0.4055369112236529,0.6393485755587791,0.04366109134900863,2.1460358418645447,0.18221840024689162,1.9289183494201967,0.11053366334138764,4.359290743757501,0.4578815520755762,0.6323178203362594,0.03364550361705637,-0.7072337037110075,0.04814193133224148,0.9666730877888455,0.018629259828931616,0.08492495854478743,0.011342597252919685,0.7066149158763845,0.042538358655253704,0.0023292897527193534,0.006114957155919275,88.7385508522665,76.11642616048778
2026-07-09,1,Untagged,2.769329267749438,0.354280685539273,0.027133366406430076,0.042571574084648185,1.3253148744213776,0.08026476443961468,2.9615867446161275,0.7302697873157737,3.6179879719947117,0.4444941341342841,0.5569778556679482,0.07018646571242983,2.712439803039103,0.3164059380925419,6.157149132977983,1.6625400211511838,0.6564652952362595,0.043329299329900116,2.102705735293412,0.8065774603033146,2.1021942793898996,0.3088672847461918,4.509828378798762,0.5126610934731247,0.6411777369684386,0.036140527873735166,-0.7170064901558837,0.11772923076557927,0.9626822429363516,0.05118342083821148,0.07372145821227846,0.012882488717998249,0.7268789820059306,0.05346318956805784,0.005221645652819685,0.008296128401186048,3.2952217194967015,86.43938263163561
2026-07-09,2005,Tagged,4.93412782997669,0.4438407302490179,0.13416208639981886,0.018966977571794434,1.522131829558471,0.0444717402804004,4.597519883130463,0.48235909254802134,7.250594163783418,0.696363275522075,0.6793515997511363,0.023157700241214187,4.469376964369407,0.3043394687449885,9.280597374741054,0.8370802564975466,0.8215464426163357,0.01004991682815635,2.2067070484531235,0.2145628159567693,2.208137629913115,0.11673866235229012,8.881744911608479,0.7519947214751848,0.8017333118655935,0.015857279339758074,-0.7246883361123841,0.020118723422624576,0.9929770165491355,0.008456840962330549,0.026341968588720253,0.0053464524813283815,0.8299518300134525,0.006231548925017992,0.027099240584915956,0.002885892625408789,145.41745217642017,198.12320846525265
2026-07-09,2005,Untagged,4.253050746850539,0.5472444472950487,0.08339724320504706,0.03795853758559502,1.4179823476864917,0.06880774647925421,3.7483638560695827,0.5810349182806069,6.508218441184498,0.7874980795819906,0.6125143916446838,0.05035686376886403,3.621989528759168,0.39841125957805307,8.240769667587147,0.9272757995147229,0.8034443820469498,0.01647684879511608,1.6161376321703451,0.26376155111287874,2.5508011225543266,0.26027648352412053,8.672472370734205,0.6930970677433232,0.796111130370011,0.017064718583728836,-0.7438287802409141,0.027158470141657787,1.0028972230190267,0.005064434275129382,0.028735290865388036,0.00370369159840804,0.8251452391912577,0.007850192289843086,0.029951103680125442,0.0075536473913533604,8483.608015203148,27616.74106466671
2026-07-09,2010,Tagged,4.10950064378776,0.6450534309340813,0.07232605508517592,0.046182135540361796,1.3984774652077814,0.08247589530245018,3.6661490268403423,0.6594335673635927,6.136794277181426,0.9849433540463592,0.6023873579639448,0.0660032136714521,3.7842961009533953,0.3415646469976327,8.319289146405627,1.2554848103405407,0.8029817243604646,0.01564997966415614,1.8638028863715812,0.2592192051845452,2.44864430583776,0.29980375856624014,7.852482157050004,0.999844425361617,0.7739573022278452,0.02897723571128171,-0.7225212798365418,0.03979778698839005,0.9875108955922894,0.016469258971123217,0.024223780004078956,0.006511694930630543,0.8148182113655998,0.00973071149550686,0.02279717153819171,0.015777593487039363,1479.0745818077542,2734.9037170321017
2026-07-09,2010,Untagged,4.529788220188609,0.42275430356629473,0.10058280349457246,0.029102873478002937,1.4591547094415276,0.0625087184551831,4.214265669991793,0.5655172912932896,6.726371326068501,0.4982083705936399,0.6457569566868293,0.040412259129192094,3.91343957807835,0.3865626615123974,9.342471451561067,0.7522560210211119,0.8078756604525992,0.008620079398970533,2.104009297888819,0.35235728142972284,2.2513827285086445,0.2378992943876837,8.427650316973642,0.3460664575975956,0.791498112327119,0.00850437653197826,-0.6834503728814485,0.026464759961885898,1.0031696037403701,0.01584697758855053,0.03027143044722894,0.005476440220734355,0.8130101582205743,0.013073012451594328,0.03625298205451207,0.004659633559731401,-671.5546557791713,3370.6176773943075
2026-07-09,2014,Untagged,2.4060837491970974,0.34822567890129236,-0.0014411519419624832,0.010150537014689707,1.2261186708453127,0.04144121255935775,2.574254850174997,0.16289576671947034,3.1460052151898923,0.5976179947115638,0.49666933151030374,0.027647460801263922,2.2840002112223345,0.3185099299616732,12.069574228975736,4.537048474023068,0.5886307858496158,0.09724773560302127,4.908841447258681,3.3233813205260656,1.8914388790037961,0.2979514531506575,3.880966132661393,0.8786052367197192,0.5770639068649792,0.09588195247655786,-0.3774323755969212,0.15648973136664612,0.9679114162873268,0.01761009394415103,0.13452912769340583,0.08949987999895705,0.6404209366385654,0.11182100790160304,0.013045794580799302,0.00347210174870056,33.930214626877664,70.7629277291417
2026-07-09,2036,Tagged,3.7203946800669696,0.2654437536434231,0.06930661036996012,0.021354357430927565,1.37787298729068,0.04078826646781055,3.4693715109540904,0.3115220948203781,5.182960529986431,0.3158413391589284,0.6080752898135021,0.031803182722659966,3.7537876966280703,0.30644844629715307,7.6082252724496175,0.5181435825258874,0.7684757835342607,0.00904237998769991,2.2884804888867833,0.27963599666039324,2.1043624668420065,0.13366114045595362,6.287337507486541,0.2711402594979214,0.7280961275138281,0.010588200324715047,-0.7235536257782023,0.019652260675721695,0.9448372638575016,0.002800415863195392,0.03004371439626773,0.007446815641013587,0.7977116008884937,0.007841833728095014,0.020997943415809097,0.003621642036599815,35.33091354963092,1.8366204614384531
2026-07-09,2036,Untagged,3.5967849948857618,0.32958220917511644,0.05568818822741193,0.0236009538637795,1.3559440885104932,0.04666155465906268,3.4323500080822935,0.4320352294319243,5.051976750104333,0.42304954475614337,0.5935243775428513,0.03988580556284839,3.4317628770025084,0.2836007818230694,8.06088538381941,1.0050438257478054,0.7518539731081636,0.01773944177332432,2.340953099816462,0.4371003149363117,2.0736275437478753,0.1942343186040071,6.221222084149962,0.4397065919476321,0.7254620880762919,0.019033966906395056,-0.6745279025482118,0.06868224816981876,0.9652934137214526,0.013101840427553597,0.02955272828545151,0.012968539772474287,0.7775268367496352,0.01885803275649815,0.021803872359514302,0.005853007499687852,65.26360547438662,27.550257210306302
2026-07-09,2079,Tagged,3.0212287942650766,0.29628271000547723,0.025794769072598516,0.010440274601463226,1.2925006906287593,0.023275480288395132,2.9294540685107178,0.09427743436674159,4.2318244085253856,0.6312248815715389,0.5429314946674645,0.013519832936703457,2.776662498146666,0.3249881628850471,6.450649827810586,1.1014478369790046,0.6983770194842004,0.0595234434417875,1.7811952167794043,0.10208273068670803,2.1657704546646315,0.3455453243825652,5.446623516707861,1.0756958007370943,0.6878454347132226,0.05108256292761263,-0.7393188691848565,0.07036448834578915,0.9836451967978254,0.017610005388107634,0.045465456407496115,0.014463352078635612,0.7389177499980495,0.0631446635899808,0.021191788148307425,0.014684588027530237,37.060706049603965,377.08376176273345
