date,plantID,SR1_mean,SR1_sd,DoubleDifference_mean,DoubleDifference_sd,Vogelmann1_mean,Vogelmann1_sd,mSR705_mean,mSR705_sd,SRCarter_mean,SRCarter_sd,Maccioni_mean,Maccioni_sd,SR3_mean,SR3_sd,Gitelson_mean,Gitelson_sd,NDVI_MODIS_mean,NDVI_MODIS_sd,Datt4_mean,Datt4_sd,SR4_mean,SR4_sd,SR2_mean,SR2_sd,NDVI_hyper_mean,NDVI_hyper_sd,Vogelmann2_mean,Vogelmann2_sd,mNDVI_mean,mNDVI_sd,NDWI_mean,NDWI_sd,SIPI_mean,SIPI_sd,PRI_mean,PRI_sd,mSRCHL_mean,mSRCHL_sd
2026-10-11,heteromeles,6.013252779232781,0.2946093307966454,0.1735084933739315,0.027448054369805984,1.6108852942329628,0.05497073822742992,4.939824751690475,0.43408134088645417,9.566735006260092,0.7314833158387161,0.7044760795502283,0.026496064304245136,5.491472472850994,0.3653912547081261,10.389324415777468,0.6035336943128862,0.8723949633129663,0.016454049873690983,1.941724703833804,0.32072744501956296,2.696579485384886,0.44115464539301535,12.66365469833857,1.7198660419447105,0.8564740339462337,0.016596647326525972,-0.7558734151773588,0.01955066273897862,0.9869922765889665,0.00652642809698596,0.06588537077138693,0.009583512259901342,0.8885387291539484,0.014905078626792743,0.024211151024394247,0.013683901575685822,203.4853561684507,130.16837714188603
2026-10-11,hyptis,3.6663958360018323,0.13185643879190884,0.13211022573712689,0.00944890102757715,1.46423503745262,0.015682033786091447,4.329627296960848,0.17851547121034975,4.789065907264232,0.21654774322299494,0.6813146856703396,0.009990671564968433,3.304108144471727,0.09877221805322053,6.428349636192105,0.27765976418619215,0.7038474047735968,0.013070987363513246,2.3691797850019816,0.10596930146409458,1.6396224922742093,0.056445750704758574,5.52025770153344,0.2904169708439519,0.7039431732529535,0.013499362179228582,-0.8039197517822387,0.020391124460448985,0.9794253602334602,0.005943772272489114,0.04145082472413683,0.006050856214458657,0.7351829115174152,0.011940005172239561,0.01282363089353812,0.0015940921127079394,103.23441655759925,26.81456055422368
2026-10-11,maytenus,2.6788995444829964,0.2441745391989067,0.02060369015941962,0.023059207273998662,1.2976403136236034,0.04334409955409387,2.7588578344569616,0.265403582195074,3.5283710703725406,0.43108270501098683,0.5416156183959719,0.03689855637085174,2.512177226961643,0.22115079847198488,5.622420883773145,0.7053463269602994,0.6390222791487616,0.04694489874560248,1.7962430684883317,0.24327415483823794,2.0788274341692334,0.25489110511306357,4.434445545662001,0.6817641582534549,0.633598760114964,0.04408874692770972,-0.7491203867691119,0.0593353989254607,0.9630495053810026,0.013614516687076179,0.07470354168877161,0.01704183793905254,0.7172649860801454,0.04884592014830061,0.009752445735976268,0.004835375092094892,288.9494926972341,914.4182757645696
2026-10-11,rhus,3.2815744073996376,0.28273945549347,0.0073549279338629295,0.017683938128347162,1.300192138977002,0.03157170776920459,2.6896755379114725,0.19344301706136888,5.0262900010378,0.5229899579619337,0.5164640217787287,0.027673419959819298,2.9277424497338855,0.24324119511881248,7.275021905986471,0.7051103851576722,0.7747685111824153,0.023153876313860223,1.2146934862265826,0.09333852695956092,3.2856925354365933,0.24025775052685144,7.476979023842168,0.8608544393093934,0.7651077434021918,0.024129505528114145,-0.7018278938856533,0.023641309364119175,0.9694617801367427,0.004002358750486214,0.05913245181570736,0.006102241653828014,0.8508392551250165,0.019755597185230973,0.01790130215319755,0.00621398575410153,65.61322186213094,9.245244091305514
2026-10-11,salvia_east,2.019157493052892,0.08471256751189125,0.11763793047680664,0.017767477353802366,1.2989345946102662,0.025403952582580446,5.10658652117271,0.5955656263668346,2.209077667631274,0.0965870850249056,0.7118713150318795,0.019091665043278982,1.9882901538232447,0.07416635324231591,3.205371044484517,0.29186507723013544,0.4039228543667848,0.018405311028023626,2.3457877309601596,0.1953899572201414,1.1533111277561605,0.011952185670205936,2.278409258813572,0.09345709595159844,0.40363908156622114,0.01918909719594073,-0.9923951657139028,0.07235077408048377,1.0067445380661972,0.02750828569075919,0.061646923183051025,0.008825997926581603,0.4094905973471993,0.013631287867996993,9.001847933004729e-4,0.0051130736028241015,56.113557566461246,244.34375398930254
2026-10-11,salvia_west,2.026922877503324,0.10959699656609914,0.1145614669260982,0.008384113957159404,1.2881165693323724,0.016259840331361502,4.967081483758179,0.3831956731980248,2.234274949694335,0.14555927606947552,0.6987837302091098,0.014665847685112128,1.9627880832393725,0.09739087762516457,3.0881401460724227,0.24453784960931346,0.4080396915923376,0.02959180518390575,2.1737507303667574,0.07743350830257113,1.1661253282712756,0.027178013907492884,2.3140452422962867,0.16565791879582223,0.409062015108694,0.029379928269943126,-1.0370493305281032,0.040179037993108895,1.0211121017559646,0.014226067323230757,0.0648866363259299,0.0119425237298834,0.41157523707870397,0.03306251486659811,0.005604169268964015,0.0021276776205570724,-167.26564458183086,139.58250318787444
2026-10-11,tecoma,4.196590399213352,0.30040568646251997,0.058955820854848295,0.013653645978231457,1.3765392660547509,0.028706718138501976,3.46957937868704,0.2538465180631699,6.481898200866737,0.41712997207676017,0.5948363886587077,0.022816610435972273,4.019537680402569,0.33009773389507396,9.63433123795556,0.7659063748496197,0.8222596711079607,0.009521313979258678,2.1037500975259062,0.24935739816667088,2.5182669061496936,0.14328768888594828,8.416191790199711,0.32056630987652734,0.7904281355980647,0.006918318908736678,-0.644477214374935,0.017718256116209356,0.9670467732527879,0.006909777604030143,0.029652114700326512,0.0014883330533255865,0.840249093578377,0.0062395300941158974,0.030529529421250503,0.004256150045690648,62.41903459910594,14.854557061819257
2026-10-11,NA,2.091925409662728,0.597828510838168,0.10764776040503235,0.031669266785179326,1.285400414769473,0.08302980756315871,4.703000630323722,1.2161492889116907,2.3908452314364306,1.023717721150227,0.7055516580604335,0.030038623806455087,2.0158484888506134,0.4462097349687586,3.5703082180474768,2.09522091002045,0.4029261952387432,0.1531948959249953,2.2305152997821467,0.24942974012956054,1.2289371832295886,0.3224447917385107,2.5942402628170735,1.5074077867311892,0.40408563373406875,0.15245583253503472,-0.9997543311614279,0.15897828264464128,0.93015148862496555,0.3098817787915272,0.04167364174977266,0.01838318005412057,0.3981988327424174,0.17839858793719812,0.0024682232869084005,0.010535843756683969,-127.2819277754781,46.80308794661057
